,,,,,,,,,,,,,,,,,,,
CITY OF LOS ANGELES - BUREAU OF SANITATION,,,,,,,,,,,,,,,,,,,
SANTA MONICA BAY BEACHES BACTERIAL TMDL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DETAIL OF ANALYTICAL RESULTS,,,,,,,,,,,,,,,,,,,
JULY 2009 TO JUNE 2010,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ARRAY TUPLES,,,
FY 09-10,,,,,,,,,,,,Generated by SKARNYA at 07/28/2020 09:38:45 AM using the Production Database and WISARD V3.0,,,,,,,
SAMPLE DATE,TIME,LOCATION,CONSTITUENT,METHOD,UNITS,RESULT,BASE,QUAL,MDL,RML,ML,SAMPLE_ID,,,,LOCATIONS,METHODS,RTYPES,
,,,,,,,,,,,,,,,,,,,
09/22/2009,08:53,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,ND,33.5,<,,,,HT135424-100,,,,,,,
09/23/2009,08:31,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT135467-27,,,,,,,
09/24/2009,08:22,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT135511-27,,,,,,,
09/25/2009,08:22,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT135544-27,,,,,,,
09/26/2009,08:10,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,67,67,,,,,HT135579-27,,,,,,,
09/29/2009,09:05,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,ND,33.5,<,,,,HT135663-100,,,,,,,
09/30/2009,09:05,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT135707-27,,,,,,,
10/01/2009,08:27,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT135747-27,,,,,,,
10/02/2009,08:37,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT135781-27,,,,,,,
10/03/2009,08:10,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,910,910,,,,,HT135816-27,,,,,,,
10/06/2009,08:46,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,740,740,,,,,HT135899-100,,,,,,,
10/07/2009,08:21,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT135955-27,,,,,,,
10/08/2009,09:03,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,1700,1700,,,,,HT135995-27,,,,,,,
10/09/2009,08:41,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,280,280,,,,,HT136025-27,,,,,,,
10/10/2009,08:20,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,350,350,,,,,HT136062-27,,,,,,,
10/13/2009,09:15,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT136136-100,,,,,,,
10/14/2009,09:32,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,1600,1600,,,,,HT136179-27,,,,,,,
10/15/2009,08:31,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,1500,1500,,,,,HT136225-27,,,,,,,
10/16/2009,08:58,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,350,350,,,,,HT136254-27,,,,,,,
10/17/2009,08:50,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,500,500,,,,,HT136290-27,,,,,,,
10/20/2009,08:51,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,1100,1100,,,,,HT136388-100,,,,,,,
10/21/2009,08:37,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT136425-27,,,,,,,
10/22/2009,08:45,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,67,67,,,,,HT136470-27,,,,,,,
10/23/2009,08:29,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,350,350,,,,,HT136508-27,,,,,,,
10/24/2009,08:25,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT136538-27,,,,,,,
10/27/2009,08:49,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT136630-100,,,,,,,
